#,catalog,Name,Price
43595,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD FTP CAT.5E,0.5м. (PP22-0.5M/G) green","19,8"
54696,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD FTP CAT.5E,0.5м. (PP22-0.5M/B) blue","19,8"
23244,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD FTP CAT.5E,0.5м. (PP22-0.5M/BK) black","19,8"
81628,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Fiber optic pigtail Lanberg (FP-LCUP-SE11-0020-YE) коннектор LC/UPC, кабель single-mode (SM) 9/125µm, Yellow",20
81623,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Fiber optic pigtail Lanberg (FP-SCUP-SE11-0020-YE) коннектор SC/UPC, кабель single-mode (SM) 9/125µm, Yellow",20
79229,КОМПЬЮТЕРНАЯ ТЕХНИКА,Адаптер (переходник) АУДИО (A-6.35M-3.5F) 6.35 mm (male) <-> 3.5 mm (F) (female),20
62957,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Удлинитель USB 2.0 (CC-USB2-AMAF-75CM/300-BK) Type A male -> Type A female, 75см., black",20
25817,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Удлинитель USB (0,75м), CC-USB2-AMAF-75CM/300 (позолоч. контакты)",20
51398,КОМПЬЮТЕРНАЯ ТЕХНИКА,Удлинитель телевизионный (5м) CCV-515-W-5M ( разъемы TV (M)/TV (F) ),"20,5"
37188,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,3м. (LogicPower)","21,3"
7608,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель MINI USB2.0 (A - MINI USB 5PM)1,8м (CC-USB2-AM5P-6)","21,3"
78328,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Удлинитель (кабель) AUDIO LANBERG (CA-MJFJ-10CC-0015-BK) 3.5мм PLUG <-> 3.5мм SOCKET, 1.5м.","21,5"
73482,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель разветвитель, аудио/видео (CCAP-RCAM2F-0.2M) 2*RCA female  <-> 1*RCA male, 0.2m, позолочен. контакты",22
54505,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель-удлинитель (4-Pin ATX Male) ->(4-Pin ATX Female) CC-PSU-7,30см",22
79227,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Соединитель стерео-аудио кабеля (A-3.5FF-01) 3.5 mm,  гнездо - 3.5 mm,  гнездо","22,9"
